PDB	CHAIN	SP_PRIMARY	PFAM_ID	COVERAGE
1b6c	B	P36897	PF00069	1
1b6c	C	P62942	PF00254	1
1b6c	D	P36897	PF08515	1
1b6c	D	P36897	PF00069	1
1b6c	E	P62942	PF00254	1
1b6c	F	P36897	PF08515	1
1b6c	F	P36897	PF00069	1
1b6c	G	P62942	PF00254	1
1b6c	H	P36897	PF00069	1
1b6c	H	P36897	PF08515	1
1bi7	A	Q00534	PF00069	1
1bi8	A	Q00534	PF00069	1
1bi8	B	P55273	PF12796	1
1bi8	C	Q00534	PF00069	1
1bi8	D	P55273	PF12796	1
1bkx	A	P05132	PF00069	1
1bl6	A	Q16539	PF00069	1
1bl7	A	Q16539	PF00069	1
1blx	A	Q00534	PF00069	1
1blx	B	Q60773	PF00023	1
1blx	B	Q60773	PF12796	1
1bmk	A	Q16539	PF00069	1
1buh	A	P24941	PF00069	1
1buh	B	P61024	PF01111	1
1bx6	A	P05132	PF00069	1
1byg	A	P41240	PF07714	1
1cdk	A	P36887	PF00069	1
1cdk	B	P36887	PF00069	1
1cki	A	Q06486	PF00069	1
1cki	B	Q06486	PF00069	1
1ckj	A	Q06486	PF00069	1
1ckj	B	Q06486	PF00069	1
1ckp	A	P24941	PF00069	1
1cm8	A	P53778	PF00069	1
1cm8	B	P53778	PF00069	1
1cmk	E	P36887	PF00069	1
1cmk	I	P61925	PF02827	0.319
1csn	A	P40233	PF00069	1
1ctp	E	P36887	PF00069	1
1daw	A	P28523	PF00069	1
1day	A	P28523	PF00069	1
1di8	A	P24941	PF00069	1
1di9	A	Q16539	PF00069	1
1dm2	A	P24941	PF00069	1
1ds5	A	P28523	PF00069	1
1ds5	B	P28523	PF00069	1
1ds5	C	P28523	PF00069	1
1ds5	D	P28523	PF00069	1
1e1v	A	P24941	PF00069	1
1e1x	A	P24941	PF00069	1
1e9h	A	P24941	PF00069	1
1e9h	B	P20248	PF02984	1
1e9h	B	P20248	PF00134	1
1e9h	C	P24941	PF00069	1
1e9h	D	P20248	PF02984	1
1e9h	D	P20248	PF00134	1
1eh4	A	P40233	PF00069	1
1eh4	B	P40233	PF00069	1
1f0q	A	P28523	PF00069	1
1f3m	A	Q13153	PF00786	1
1f3m	B	Q13153	PF00786	1
1f3m	C	Q13153	PF00069	1
1f3m	D	Q13153	PF00069	1
1f5q	A	P24941	PF00069	1
1f5q	B	P89883	PF00134	1
1f5q	B	P89883	PF21608	1
1f5q	C	P24941	PF00069	1
1f5q	D	P89883	PF21608	1
1f5q	D	P89883	PF00134	1
1fgi	A	P11362	PF07714	1
1fgi	B	P11362	PF07714	1
1fgk	A	P11362	PF07714	1
1fgk	B	P11362	PF07714	1
1fin	A	P24941	PF00069	1
1fin	B	P20248	PF02984	1
1fin	B	P20248	PF00134	1
1fin	C	P24941	PF00069	1
1fin	D	P20248	PF02984	1
1fin	D	P20248	PF00134	1
1fmk	A	P12931	PF07714	1
1fmk	A	P12931	PF00018	1
1fmk	A	P12931	PF00017	1
1fmo	E	P05132	PF00069	1
1fot	A	P06244	PF00069	1
1fpu	A	P00520	PF07714	1
1fpu	B	P00520	PF07714	1
1fq1	A	Q16667	PF05706	1
1fq1	B	P24941	PF00069	1
1fvr	A	Q02763	PF07714	1
1fvr	B	Q02763	PF07714	1
1fvt	A	P24941	PF00069	1
1fvv	A	P24941	PF00069	1
1fvv	B	P20248	PF02984	1
1fvv	B	P20248	PF00134	1
1fvv	C	P24941	PF00069	1
1fvv	D	P20248	PF00134	1
1fvv	D	P20248	PF02984	1
1g3n	A	Q00534	PF00069	1
1g3n	B	P42773	PF12796	1
1g3n	E	Q00534	PF00069	1
1g3n	F	P42773	PF12796	1
1g5s	A	P24941	PF00069	1
1gag	A	P06213	PF07714	1
1gih	A	P24941	PF00069	1
1gii	A	P24941	PF00069	1
1gij	A	P24941	PF00069	1
1gjo	A	P21802	PF07714	1
1gng	A	P49841	PF00069	1
1gng	B	P49841	PF00069	1
1gol	A	P63086	PF00069	1
1gy3	A	P24941	PF00069	1
1gy3	B	P20248	PF02984	1
1gy3	B	P20248	PF00134	1
1gy3	C	P24941	PF00069	1
1gy3	D	P20248	PF00134	1
1gy3	D	P20248	PF02984	1
1gz8	A	P24941	PF00069	1
1gzk	A	P31751	PF00433	0.674
1gzk	A	P31751	PF00069	1
1gzn	A	P31751	PF00069	1
1gzn	A	P31751	PF00433	1
1gzo	A	P31751	PF00069	1
1gzo	A	P31751	PF00433	0.674
1h00	A	P24941	PF00069	1
1h01	A	P24941	PF00069	1
1h07	A	P24941	PF00069	1
1h08	A	P24941	PF00069	1
1h0v	A	P24941	PF00069	1
1h0w	A	P24941	PF00069	1
1h1p	A	P24941	PF00069	1
1h1p	B	P20248	PF00134	1
1h1p	B	P20248	PF02984	1
1h1p	C	P24941	PF00069	1
1h1p	D	P20248	PF02984	1
1h1p	D	P20248	PF00134	1
1h1q	A	P24941	PF00069	1
1h1q	B	P20248	PF02984	1
1h1q	B	P20248	PF00134	1
1h1q	C	P24941	PF00069	1
1h1q	D	P20248	PF02984	1
1h1q	D	P20248	PF00134	1
1h1r	A	P24941	PF00069	1
1h1r	B	P20248	PF02984	1
1h1r	B	P20248	PF00134	1
1h1r	C	P24941	PF00069	1
1h1r	D	P20248	PF00134	1
1h1r	D	P20248	PF02984	1
1h1s	A	P24941	PF00069	1
1h1s	B	P20248	PF00134	1
1h1s	B	P20248	PF02984	1
1h1s	C	P24941	PF00069	1
1h1s	D	P20248	PF02984	1
1h1s	D	P20248	PF00134	1
1h1w	A	O15530	PF00069	1
1h24	A	P24941	PF00069	1
1h24	B	P20248	PF00134	1
1h24	B	P20248	PF02984	1
1h24	C	P24941	PF00069	1
1h24	D	P20248	PF02984	1
1h24	D	P20248	PF00134	1
1h25	A	P24941	PF00069	1
1h25	B	P20248	PF00134	1
1h25	B	P20248	PF02984	1
1h25	C	P24941	PF00069	1
1h25	D	P20248	PF00134	1
1h25	D	P20248	PF02984	1
1h26	A	P24941	PF00069	1
1h26	B	P20248	PF00134	1
1h26	B	P20248	PF02984	1
1h26	C	P24941	PF00069	1
1h26	D	P20248	PF00134	1
1h26	D	P20248	PF02984	1
1h27	A	P24941	PF00069	1
1h27	B	P20248	PF00134	1
1h27	B	P20248	PF02984	1
1h27	C	P24941	PF00069	1
1h27	D	P20248	PF00134	1
1h27	D	P20248	PF02984	1
1h28	A	P24941	PF00069	1
1h28	B	P20248	PF00134	1
1h28	B	P20248	PF02984	1
1h28	C	P24941	PF00069	1
1h28	D	P20248	PF00134	1
1h28	D	P20248	PF02984	1
1h4l	A	Q00535	PF00069	1
1h4l	B	Q00535	PF00069	1
1h4l	D	Q15078	PF03261	0.778
1h4l	E	Q15078	PF03261	0.778
1h8f	A	P49841	PF00069	1
1h8f	B	P49841	PF00069	1
1hck	A	P24941	PF00069	1
1hcl	A	P24941	PF00069	1
1how	A	Q03656	PF00069	0.949
1how	A	Q03656	PF00069	0.942
1i09	A	P49841	PF00069	1
1i09	B	P49841	PF00069	1
1i44	A	P06213	PF07714	1
1ia8	A	O14757	PF00069	1
1ian	A	Q16539	PF00069	1
1ias	A	P36897	PF08515	1
1ias	A	P36897	PF00069	1
1ias	B	P36897	PF08515	1
1ias	B	P36897	PF00069	1
1ias	C	P36897	PF00069	1
1ias	C	P36897	PF08515	1
1ias	D	P36897	PF08515	1
1ias	D	P36897	PF00069	1
1ias	E	P36897	PF00069	1
1ias	E	P36897	PF08515	1
1iep	A	P00520	PF07714	1
1iep	B	P00520	PF07714	1
1ig1	A	P53355	PF00069	1
1ir3	A	P06213	PF07714	1
1irk	A	P06213	PF07714	1
1j1b	A	P49841	PF00069	1
1j1b	B	P49841	PF00069	1
1j1c	A	P49841	PF00069	1
1j1c	B	P49841	PF00069	1
1j3h	A	P05132	PF00069	1
1j3h	B	P05132	PF00069	1
1j91	A	P28523	PF00069	1
1j91	B	P28523	PF00069	1
1jam	A	P28523	PF00069	1
1jbp	E	P05132	PF00069	1
1jkk	A	P53355	PF00069	1
1jkl	A	P53355	PF00069	1
1jks	A	P53355	PF00069	1
1jkt	A	P53355	PF00069	1
1jkt	B	P53355	PF00069	1
1jlu	E	P05132	PF00069	1
1jnk	A	P53779	PF00069	1
1jow	A	Q01043	PF09241	1
1jow	A	Q01043	PF00134	1
1jow	B	Q00534	PF00069	1
1jpa	A	P54763	PF14575	0.427
1jpa	A	P54763	PF07714	1
1jpa	B	P54763	PF07714	1
1jpa	B	P54763	PF14575	0.427
1jqh	A	P08069	PF07714	1
1jqh	B	P08069	PF07714	1
1jqh	C	P08069	PF07714	1
1jst	A	P24941	PF00069	1
1jst	B	P20248	PF02984	1
1jst	B	P20248	PF00134	1
1jst	C	P24941	PF00069	1
1jst	D	P20248	PF00134	1
1jst	D	P20248	PF02984	1
1jsu	A	P24941	PF00069	1
1jsu	B	P20248	PF00134	1
1jsu	B	P20248	PF02984	1
1jsu	C	P46527	PF02234	1
1jsv	A	P24941	PF00069	1
1jvp	P	P24941	PF00069	1
1jwh	A	P68400	PF00069	1
1jwh	B	P68400	PF00069	1
1jwh	C	P67870	PF01214	1
1jwh	D	P67870	PF01214	1
1k2p	A	Q06187	PF07714	1
1k2p	B	Q06187	PF07714	1
1k3a	A	P08069	PF07714	1
1k9a	A	P32577	PF00017	1
1k9a	A	P32577	PF07714	1
1k9a	A	P32577	PF00018	1
1k9a	B	P32577	PF07714	1
1k9a	B	P32577	PF00018	1
1k9a	B	P32577	PF00017	1
1k9a	C	P32577	PF07714	1
1k9a	C	P32577	PF00017	1
1k9a	C	P32577	PF00018	1
1k9a	D	P32577	PF00017	1
1k9a	D	P32577	PF07714	1
1k9a	D	P32577	PF00018	1
1k9a	E	P32577	PF07714	1
1k9a	E	P32577	PF00018	1
1k9a	E	P32577	PF00017	1
1k9a	F	P32577	PF07714	1
1k9a	F	P32577	PF00018	1
1k9a	F	P32577	PF00017	1
1ke5	A	P24941	PF00069	1
1ke6	A	P24941	PF00069	1
1ke7	A	P24941	PF00069	1
1ke8	A	P24941	PF00069	1
1ke9	A	P24941	PF00069	1
1koa	A	Q23551	PF07679	1
1koa	A	Q23551	PF00069	1
1ksw	A	P12931	PF00017	1
1ksw	A	P12931	PF07714	1
1ksw	A	P12931	PF00018	1
1kv1	A	Q16539	PF00069	1
1kv2	A	Q16539	PF00069	1
1kwp	A	P49137	PF00069	1
1kwp	B	P49137	PF00069	1
1l3r	E	P05132	PF00069	1
1lew	A	P47811	PF00069	1
1lez	A	P47811	PF00069	1
1lp4	A	P28523	PF00069	1
1lpu	A	P28523	PF00069	1
1lr4	A	P28523	PF00069	1
1luf	A	Q62838	PF07714	1
1m14	A	P00533	PF07714	1
1m17	A	P00533	PF07714	1
1m2p	A	P28523	PF00069	1
1m2q	A	P28523	PF00069	1
1m2r	A	P28523	PF00069	1
1m52	A	P00520	PF07714	1
1m52	B	P00520	PF07714	1
1m7n	A	P08069	PF07714	1
1m7n	B	P08069	PF07714	1
1m7q	A	Q16539	PF00069	1
1mp8	A	Q05397	PF07714	1
1mq4	A	O14965	PF00069	1
1mqb	A	P29317	PF07714	1
1mqb	B	P29317	PF07714	1
1mru	A	P9WI81	PF00069	1
1mru	B	P9WI81	PF00069	1
1mrv	A	P31751	PF00069	1
1mrv	A	P31751	PF00433	1
1mry	A	P31751	PF00433	1
1mry	A	P31751	PF00069	1
1muo	A	O14965	PF00069	1
1na7	A	P68400	PF00069	1
1nvq	A	O14757	PF00069	1
1nvr	A	O14757	PF00069	1
1nvs	A	O14757	PF00069	1
1nxk	A	P49137	PF00069	1
1nxk	B	P49137	PF00069	1
1nxk	C	P49137	PF00069	1
1nxk	D	P49137	PF00069	1
1ny3	A	P49137	PF00069	1
1o6k	A	P31751	PF00433	1
1o6k	A	P31751	PF00069	1
1o6l	A	P31751	PF00433	1
1o6l	A	P31751	PF00069	1
1o6y	A	P9WI81	PF00069	1
1o9u	A	P49841	PF00069	1
1oec	A	P21802	PF07714	1
1ogu	A	P24941	PF00069	1
1ogu	B	P20248	PF02984	1
1ogu	B	P20248	PF00134	1
1ogu	C	P24941	PF00069	1
1ogu	D	P20248	PF02984	1
1ogu	D	P20248	PF00134	1
1oi9	A	P24941	PF00069	1
1oi9	B	P20248	PF00134	1
1oi9	B	P20248	PF02984	1
1oi9	C	P24941	PF00069	1
1oi9	D	P20248	PF00134	1
1oi9	D	P20248	PF02984	1
1oiq	A	P24941	PF00069	1
1oir	A	P24941	PF00069	1
1oit	A	P24941	PF00069	1
1oiu	A	P24941	PF00069	1
1oiu	B	P20248	PF00134	1
1oiu	B	P20248	PF02984	1
1oiu	C	P24941	PF00069	1
1oiu	D	P20248	PF02984	1
1oiu	D	P20248	PF00134	1
1oiy	A	P24941	PF00069	1
1oiy	B	P20248	PF00134	1
1oiy	B	P20248	PF02984	1
1oiy	C	P24941	PF00069	1
1oiy	D	P20248	PF00134	1
1oiy	D	P20248	PF02984	1
1okv	A	P24941	PF00069	1
1okv	B	P20248	PF02984	1
1okv	B	P20248	PF00134	1
1okv	C	P24941	PF00069	1
1okv	D	P20248	PF02984	1
1okv	D	P20248	PF00134	1
1okw	A	P24941	PF00069	1
1okw	B	P20248	PF00134	1
1okw	B	P20248	PF02984	1
1okw	C	P24941	PF00069	1
1okw	D	P20248	PF00134	1
1okw	D	P20248	PF02984	1
1oky	A	O15530	PF00069	1
1okz	A	O15530	PF00069	1
1ol1	A	P24941	PF00069	1
1ol1	B	P20248	PF00134	1
1ol1	B	P20248	PF02984	1
1ol1	C	P24941	PF00069	1
1ol1	D	P20248	PF00134	1
1ol1	D	P20248	PF02984	1
1ol2	A	P24941	PF00069	1
1ol2	B	P20248	PF02984	1
1ol2	B	P20248	PF00134	1
1ol2	C	P24941	PF00069	1
1ol2	D	P20248	PF02984	1
1ol2	D	P20248	PF00134	1
1ol5	A	O14965	PF00069	1
1ol5	B	Q9ULW0	PF09041	0.632
1ol6	A	O14965	PF00069	1
1ol7	A	O14965	PF00069	1
1om1	A	P28523	PF00069	1
1omw	A	P21146	PF00615	1
1omw	A	P21146	PF00069	1
1omw	A	P21146	PF00169	1
1omw	B	P62871	PF25391	1
1omw	G	P63212	PF00631	0.955
1opj	A	P00520	PF07714	1
1opj	B	P00520	PF07714	1
1opk	A	P00520	PF00018	1
1opk	A	P00520	PF07714	1
1opk	A	P00520	PF00017	1
1opl	A	P00519	PF00017	1
1opl	A	P00519	PF07714	1
1opl	A	P00519	PF00018	1
1opl	B	P00519	PF00017	1
1opl	B	P00519	PF00018	1
1opl	B	P00519	PF07714	1
1ouk	A	Q16539	PF00069	1
1ouy	A	Q16539	PF00069	1
1ove	A	Q16539	PF00069	1
1oz1	A	Q16539	PF00069	1
1p14	A	P06213	PF07714	1
1p2a	A	P24941	PF00069	1
1p4f	A	P53355	PF00069	1
1p4o	A	P08069	PF07714	1
1p4o	B	P08069	PF07714	1
1p5e	A	P24941	PF00069	1
1p5e	B	P20248	PF02984	1
1p5e	B	P20248	PF00134	1
1p5e	C	P24941	PF00069	1
1p5e	D	P20248	PF00134	1
1p5e	D	P20248	PF02984	1
1pf8	A	P24941	PF00069	1
1phk	A	P00518	PF00069	1
1pjk	A	P68400	PF00069	1
1pkd	A	P24941	PF00069	1
1pkd	B	P20248	PF02984	1
1pkd	B	P20248	PF00134	1
1pkd	C	P24941	PF00069	1
1pkd	D	P20248	PF00134	1
1pkd	D	P20248	PF02984	1
1pkg	A	P10721	PF07714	0.827
1pkg	B	P10721	PF07714	0.827
1pme	A	P28482	PF00069	1
1pmn	A	P53779	PF00069	1
1pmu	A	P53779	PF00069	1
1pmv	A	P53779	PF00069	1
1pw2	A	P24941	PF00069	1
1pxi	A	P24941	PF00069	1
1pxj	A	P24941	PF00069	1
1pxk	A	P24941	PF00069	1
1pxl	A	P24941	PF00069	1
1pxm	A	P24941	PF00069	1
1pxn	A	P24941	PF00069	1
1pxo	A	P24941	PF00069	1
1pxp	A	P24941	PF00069	1
1py5	A	P36897	PF00069	1
1py5	A	P36897	PF08515	1
1pye	A	P24941	PF00069	1
1pyx	A	P49841	PF00069	1
1pyx	B	P49841	PF00069	1
1q24	A	P00517	PF00069	1
1q3d	A	P49841	PF00069	1
1q3d	B	P49841	PF00069	1
1q3w	A	P49841	PF00069	1
1q3w	B	P49841	PF00069	1
1q41	A	P49841	PF00069	1
1q41	B	P49841	PF00069	1
1q4l	A	P49841	PF00069	1
1q4l	B	P49841	PF00069	1
1q5k	A	P49841	PF00069	1
1q5k	B	P49841	PF00069	1
1q61	A	P00517	PF00069	1
1q62	A	P00517	PF00069	1
1q8t	A	P00517	PF00069	1
1q8u	A	P00517	PF00069	1
1q8w	A	P00517	PF00069	1
1q8y	A	Q03656	PF00069	0.942
1q8y	A	Q03656	PF00069	0.96
1q8y	B	Q03656	PF00069	0.942
1q8y	B	Q03656	PF00069	0.96
1q8z	A	Q03656	PF00069	0.942
1q8z	A	Q03656	PF00069	0.96
1q8z	B	Q03656	PF00069	0.942
1q8z	B	Q03656	PF00069	0.96
1q97	A	Q03656	PF00069	0.942
1q97	A	Q03656	PF00069	0.96
1q97	B	Q03656	PF00069	0.942
1q97	B	Q03656	PF00069	0.96
1q99	A	Q03656	PF00069	0.942
1q99	A	Q03656	PF00069	0.96
1q99	B	Q03656	PF00069	0.942
1q99	B	Q03656	PF00069	0.96
1qcf	A	P08631	PF07714	1
1qcf	A	P08631	PF00017	1
1qcf	A	P08631	PF00018	1
1ql6	A	P00518	PF00069	1
1qmz	A	P24941	PF00069	1
1qmz	B	P20248	PF02984	1
1qmz	B	P20248	PF00134	1
1qmz	C	P24941	PF00069	1
1qmz	D	P20248	PF00134	1
1qmz	D	P20248	PF02984	1
1qpc	A	P06239	PF07714	1
1qpd	A	P06239	PF07714	1
1qpe	A	P06239	PF07714	1
1qpj	A	P06239	PF07714	1
1r0e	A	P49841	PF00069	1
1r0e	B	P49841	PF00069	1
1r0p	A	P08581	PF07714	1
1r1w	A	P08581	PF07714	1
1r39	A	Q16539	PF00069	1
1r3c	A	Q16539	PF00069	1
1r78	A	P24941	PF00069	1
1rdq	E	P05132	PF00069	1
1re8	A	P05132	PF00069	1
1rej	A	P05132	PF00069	1
1rek	A	P05132	PF00069	1
1rjb	A	P36888	PF07714	0.847
1rqq	A	P06213	PF07714	1
1rqq	B	P06213	PF07714	1
1rqq	C	Q9Z200	PF00017	1
1rqq	D	Q9Z200	PF00017	1
1rw8	A	P36897	PF00069	1
1s9i	A	P36507	PF00069	1
1s9i	B	P36507	PF00069	1
1s9j	A	Q02750	PF00069	1
1sm2	A	Q08881	PF07714	1
1sm2	B	Q08881	PF07714	1
1smh	A	P00517	PF00069	1
1snu	A	Q08881	PF07714	1
1snu	B	Q08881	PF07714	1
1snx	A	Q08881	PF07714	1
1snx	B	Q08881	PF07714	1
1stc	E	P00517	PF00069	1
1sve	A	P00517	PF00069	1
1svg	A	P00517	PF00069	1
1svh	A	P00517	PF00069	1
1syk	A	P05132	PF00069	1
1syk	B	P05132	PF00069	1
1szm	A	P00517	PF00069	1
1szm	B	P00517	PF00069	1
1t45	A	P10721	PF07714	0.827
1t46	A	P10721	PF07714	0.827
1tki	A	Q8WZ42	PF00069	1
1tki	B	Q8WZ42	PF00069	1
1tvo	A	P28482	PF00069	1
1u46	A	Q07912	PF07714	1
1u46	B	Q07912	PF07714	1
1u4d	A	Q07912	PF07714	1
1u4d	B	Q07912	PF07714	1
1u54	A	Q07912	PF07714	1
1u54	B	Q07912	PF07714	1
1u59	A	P43403	PF07714	1
1u5q	A	Q9JLS3	PF00069	1
1u5q	B	Q9JLS3	PF00069	1
1u5r	A	Q9JLS3	PF00069	1
1u5r	B	Q9JLS3	PF00069	1
1ua2	A	P50613	PF00069	1
1ua2	B	P50613	PF00069	1
1ua2	C	P50613	PF00069	1
1ua2	D	P50613	PF00069	1
1ukh	A	P45983	PF00069	1
1uki	A	P45983	PF00069	1
1ung	A	Q00535	PF00069	1
1ung	B	Q00535	PF00069	1
1ung	D	Q15078	PF03261	1
1ung	E	Q15078	PF03261	1
1unh	A	Q00535	PF00069	1
1unh	B	Q00535	PF00069	1
1unh	D	Q15078	PF03261	1
1unh	E	Q15078	PF03261	1
1unl	A	Q00535	PF00069	1
1unl	B	Q00535	PF00069	1
1unl	D	Q15078	PF03261	1
1unl	E	Q15078	PF03261	1
1urc	A	P24941	PF00069	1
1urc	B	P20248	PF02984	1
1urc	B	P20248	PF00134	1
1urc	C	P24941	PF00069	1
1urc	D	P20248	PF00134	1
1urc	D	P20248	PF02984	1
1urw	A	P24941	PF00069	1
1uu3	A	O15530	PF00069	1
1uu7	A	O15530	PF00069	1
1uu8	A	O15530	PF00069	1
1uu9	A	O15530	PF00069	1
1uv5	A	P49841	PF00069	1
1uvr	A	O15530	PF00069	1
1uwh	A	P15056	PF07714	1
1uwh	B	P15056	PF07714	1
1uwj	A	P15056	PF07714	1
1uwj	B	P15056	PF07714	1
1v1k	A	P24941	PF00069	1
1veb	A	P00517	PF00069	1
1vjy	A	P36897	PF00069	1
1vr2	A	P35968	PF07714	0.847
1vyw	A	P24941	PF00069	1
1vyw	B	P20248	PF00134	1
1vyw	B	P20248	PF02984	1
1vyw	C	P24941	PF00069	1
1vyw	D	P20248	PF00134	1
1vyw	D	P20248	PF02984	1
1vyz	A	P24941	PF00069	1
1vzo	A	O75582	PF00069	1
1w0x	C	P24941	PF00069	1
1w7h	A	Q16539	PF00069	1
1w82	A	Q16539	PF00069	1
1w83	A	Q16539	PF00069	1
1w84	A	Q16539	PF00069	1
1w8c	A	P24941	PF00069	1
1w98	A	P24941	PF00069	1
1w98	B	P24864	PF00134	1
1w98	B	P24864	PF02984	1
1wak	A	Q96SB4	PF00069	1
1wbn	A	Q16539	PF00069	1
1wbo	A	Q16539	PF00069	1
1wbp	A	Q96SB4	PF00069	1
1wbs	A	Q16539	PF00069	1
1wbt	A	Q16539	PF00069	1
1wbv	A	Q16539	PF00069	1
1wbw	A	Q16539	PF00069	1
1wcc	A	P24941	PF00069	1
1wfc	A	Q16539	PF00069	1
1wmk	A	Q9UIK4	PF00069	1
1wmk	B	Q9UIK4	PF00069	1
1wmk	C	Q9UIK4	PF00069	1
1wmk	D	Q9UIK4	PF00069	1
1wmk	E	Q9UIK4	PF00069	1
1wmk	F	Q9UIK4	PF00069	1
1wmk	G	Q9UIK4	PF00069	1
1wmk	H	Q9UIK4	PF00069	1
1wvw	A	P53355	PF00069	1
1wvx	A	P53355	PF00069	1
1wvy	A	P53355	PF00069	1
1wzy	A	P28482	PF00069	1
1x8b	A	P30291	PF00069	1
1xba	A	P43405	PF07714	1
1xbb	A	P43405	PF07714	1
1xbc	A	P43405	PF07714	1
1xh4	A	P00517	PF00069	1
1xh5	A	P00517	PF00069	1
1xh6	A	P00517	PF00069	1
1xh7	A	P00517	PF00069	1
1xh8	A	P00517	PF00069	1
1xh9	A	P00517	PF00069	1
1xha	A	P00517	PF00069	1
1xjd	A	Q04759	PF00069	1
1xjd	A	Q04759	PF00433	1
1xkk	A	P00533	PF07714	1
1xo2	A	Q01043	PF00134	1
1xo2	A	Q01043	PF09241	1
1xo2	B	Q00534	PF00069	1
1xqz	A	P11309	PF00069	1
1xr1	A	P11309	PF00069	1
1xws	A	P11309	PF00069	1
1y57	A	P12931	PF00017	1
1y57	A	P12931	PF00018	1
1y57	A	P12931	PF07714	1
1y6a	A	P35968	PF07714	1
1y6b	A	P35968	PF07714	1
1y8g	A	O08679	PF00069	1
1y8g	A	O08679	PF00627	1
1y8g	B	O08679	PF00069	1
1y8g	B	O08679	PF00627	1
1y8y	A	P24941	PF00069	1
1y91	A	P24941	PF00069	1
1ydr	E	P00517	PF00069	1
1yds	E	P00517	PF00069	1
1ydt	E	P00517	PF00069	1
1yhs	A	P11309	PF00069	1
1yhv	A	Q13153	PF00069	1
1yhw	A	Q13153	PF00069	1
1yi3	A	P11309	PF00069	1
1yi4	A	P11309	PF00069	1
1yi6	A	P12931	PF07714	1
1yi6	B	P12931	PF07714	1
1ykr	A	P24941	PF00069	1
1ym7	A	P21146	PF00615	1
1ym7	A	P21146	PF00069	1
1ym7	A	P21146	PF00169	1
1ym7	B	P21146	PF00069	1
1ym7	B	P21146	PF00615	1
1ym7	B	P21146	PF00169	1
1ym7	C	P21146	PF00069	1
1ym7	C	P21146	PF00615	1
